"id","Наименование одежды","Краткое описание","Цена (рубли)","Материалы","Сезонность","Цвет","Стиль"
26,"Юбка-плиссе","Элегантная юбка-миди с плиссировкой, выполненная из полиэстера и вискозы. Ее плавные линии и утонченный крой позволяют создать как деловой, так и вечерний образ.",3300,"полиэстер, вискоза","весна, лето","темно-фиолетовый","деловой, вечерний"
27,"Сумка кросс-боди","Компактная сумка через плечо из кожи и экокожи, которая добавляет изысканности повседневному образу. Вместительная и стильная, она станет незаменимым аксессуаром в городской суете.",5500,"кожа, экокожа","всесезонный","коричневый","повседневный"
28,"Шарф вязаный","Теплый вязаный шарф из шерсти и акрила, созданный для защиты от холода. Универсальный аксессуар, который дополнит как повседневный, так и элегантный образ в осенне-зимний период.",1500,"шерсть, акрил","осень, зима","красный","повседневный"
29,"Ботильоны на каблуке","Элегантные ботильоны на среднем каблуке, выполненные из кожи и замши, созданные для создания стильного образа в офисе или на вечеринке. Обеспечивают комфорт и уверенность в себе на протяжении всего дня.",6200,"кожа, замша","осень, зима","черный","деловой, вечерний"
30,"Футболка поло","Классическая футболка поло с воротником, изготовленная из хлопка, которая сочетает спортивный стиль с элегантностью. Удобный крой и легкая ткань делают её идеальной для теплых дней.",2000,"хлопок","лето, весна","синий","повседневный, спортивный"
31,"Платье макси","Длинное макси-платье с расклешенным подолом, выполненное из шифона и хлопка, создающее романтичный и женственный образ. Прекрасно подходит для летних прогулок и вечерних мероприятий.",5800,"шифон, хлопок","лето","желтый","романтический, вечерний"
32,"Свитер с высоким горлом","Теплый свитер с высоким воротником, выполненный из шерсти и акрила, разработанный для защиты от холода. Классический дизайн и уютная текстура делают его отличным выбором для осенне-зимнего сезона.",3900,"шерсть, акрил","осень, зима","коричневый","повседневный"
33,"Брюки-карго","Удобные брюки-карго свободного кроя с накладными карманами, изготовленные из хлопка и смесовой ткани. Практичный и стильный вариант для повседневного образа, сочетающий функциональность и моду.",3500,"хлопок, смесовая ткань","всесезонный","оливковый","повседневный"
34,"Платье-сарафан","Легкое летнее платье-сарафан без рукавов, выполненное из хлопка и льна, которое дарит ощущение свежести и свободы движений. Идеально подходит для пляжа, прогулок и летних праздников.",2800,"хлопок, лен","лето","белый","повседневный, романтический"
35,"Куртка пуховик","Теплая куртка-пуховик с натуральным пуховым наполнителем, созданная для защиты от низких температур. Современные технологии утепления и стильный дизайн делают её незаменимой в зимний период.",9000,"полиэстер, пуховой наполнитель","зима","темно-синий","повседневный"
36,"Туфли на платформе","Элегантные туфли на платформе, выполненные из кожи и экокожи, которые придают образу нотку ретро-шика. Идеальны для вечерних выходов, сочетая комфорт и оригинальный дизайн.",7500,"кожа, экокожа","всесезонный","бежевый","вечерний"
37,"Брюки-джоггеры","Спортивные брюки-джоггеры с резинкой на поясе, изготовленные из хлопка и полиэстера. Обладают свободным кроем и современным дизайном, идеально подходящим для занятий спортом и повседневной носки.",2900,"хлопок, полиэстер","всесезонный","черный","спортивный"
38,"Платье-рубашка","Легкое платье-рубашка с поясом, выполненное из хлопка и вискозы, сочетающее удобство рубашки и женственность платья. Подходит для офисного стиля и повседневных прогулок, создавая свежий и непринужденный образ.",3600,"хлопок, вискоза","весна, лето","светло-голубой","деловой, повседневный"
39,"Шапка вязаная","Теплая вязаная шапка из шерсти и акрила, созданная для защиты от холода. Стильный аксессуар с универсальным дизайном, который отлично дополнит зимний образ.",1200,"шерсть, акрил","осень, зима","темно-синий","повседневный"
40,"Босоножки на каблуке","Стильные босоножки на среднем каблуке, выполненные из кожи и экокожи, создающие элегантный и женственный образ. Идеальны для летних мероприятий, сочетая комфорт и изысканность.",4500,"кожа, экокожа","лето","золотой","вечерний"
41,"Платье-трапеция","Свободное платье-трапеция с расклешенным подолом, созданное для ежедневного комфорта и стильного образа. Легко комбинируется с аксессуарами, что позволяет создавать как повседневные, так и более нарядные образы.",3800,"хлопок, вискоза","весна, лето","розовый","повседневный, романтический"
42,"Пиджак двубортный","Классический двубортный пиджак из шерсти, который придает образу деловую строгость и элегантность. Идеален для официальных мероприятий, благодаря высокому качеству ткани и безупречному крою.",7000,"шерсть","всесезонный","темно-серый","деловой"
43,"Юбка-тюльпан","Женственная юбка-тюльпан с объемным силуэтом, выполненная из полиэстера, которая подчеркивает фигуру и добавляет образу легкости. Прекрасно подходит для офисного стиля и вечерних выходов.",3100,"полиэстер","весна, лето","малиновый","деловой, вечерний"
44,"Куртка-парка","Теплая куртка-парка с меховой отделкой капюшона, созданная для защиты в холодное время года. Функциональный и стильный дизайн делает её идеальным выбором для зимних городских условий.",11000,"нейлон, утеплитель","зима","оливковый","повседневный"
45,"Сандалии","Легкие летние сандалии с открытым носком, выполненные из кожи и текстиля, обеспечивающие комфорт при длительных прогулках. Практичный и стильный аксессуар для жаркого времени года.",2700,"кожа, текстиль","лето","коричневый","повседневный"
46,"Брюки-клеш","Элегантные брюки-клеш с расклешенным силуэтом от колена, изготовленные из хлопка и смесовой ткани. Идеальны для создания стильного повседневного образа, сочетающего комфорт и модные тенденции.",3400,"хлопок, смесовая ткань","всесезонный","темно-серый","повседневный"
47,"Платье-футляр с открытыми плечами","Стильное платье-футляр с открытыми плечами, которое подчеркивает элегантность и женственность. Идеально подходит для вечерних мероприятий, благодаря своему современному крою и утонченному дизайну.",4900,"эластан","лето, весна","черный","вечерний"
48,"Куртка-косуха","Кожаная куртка-косуха в стиле байкера, выполненная из натуральной кожи. Обладает агрессивным и модным дизайном, который отлично подходит для создания смелых повседневных и вечерних образов.",9500,"кожа","осень, весна","темно-коричневый","повседневный"
49,"Юбка-миди с запахом","Элегантная юбка-миди с запахом, выполненная из вискозы, которая подчеркивает талию и создает утонченный силуэт. Идеальна для создания офисного или повседневного образа.",3200,"вискоза","весна, лето","светло-серый","деловой, повседневный"
50,"Туфли-оксфорды","Классические туфли-оксфорды на шнуровке, изготовленные из кожи, создающие элегантный деловой образ. Идеальны для официальных мероприятий и прекрасно дополняют костюмный стиль.",5200,"кожа","всесезонный","черный","деловой"
51,"Платье-комбинация","Короткое платье-комбинация с тонкими бретелями из шелка, подчеркивающее женственность и легкость образа. Идеально подходит для вечерних выходов, создавая утонченный и современный стиль.",4300,"шелк","лето","изумрудный","вечерний"
52,"Куртка-аляска","Теплая куртка-аляска с меховой отделкой, разработанная для суровых зимних условий. Обеспечивает отличную защиту от холода и отличается современным дизайном, сочетающим функциональность и стиль.",10000,"нейлон, утеплитель","зима","синий","повседневный"
53,"Брюки-бананы","Стильные брюки-бананы свободного кроя из хлопка, создающие модный и непринужденный образ. Идеальны для повседневной носки, благодаря удобной посадке и актуальному дизайну.",3300,"хлопок","всесезонный","темно-синий","повседневный"
54,"Платье-рубашка с поясом","Легкое платье-рубашка с поясом из хлопка, сочетающее удобство рубашки и женственность платья. Идеально подходит для офисного стиля и прогулок, благодаря свободному крою и элегантной линии талии.",3700,"хлопок","весна, лето","мятный","деловой, повседневный"
55,"Куртка-блейзер","Классическая куртка-блейзер из шерсти, обладающая строгим кроем и элегантной отделкой. Идеальна для деловых встреч и офисного стиля, сочетая в себе традиции и современность.",6800,"шерсть","всесезонный","темно-серый","деловой"
56,"Юбка-мини","Модная короткая юбка-мини из денима и хлопка, подчеркивающая молодежный и динамичный стиль. Легко комбинируется с базовыми топами для создания яркого образа.",2500,"деним, хлопок","лето","черный","повседневный"
57,"Туфли-лодочки","Классические туфли-лодочки на каблуке из кожи, создающие элегантный и утонченный образ для офиса или вечерних мероприятий. Обладают комфортной посадкой и изысканным дизайном.",5600,"кожа","всесезонный","бежевый","деловой, вечерний"
58,"Платье-макси с цветочным принтом","Легкое платье-макси с ярким цветочным принтом из хлопка, создающее романтичный и летний образ. Идеально подходит для прогулок на свежем воздухе и праздничных мероприятий.",5000,"хлопок","лето","многоцветный","романтический, повседневный"
59,"Куртка-пуховик с мехом","Теплая куртка-пуховик с меховой отделкой из полиэстера и утеплителя, обеспечивающая надежную защиту от зимнего холода. Современный дизайн и высокая функциональность делают её незаменимой в холодное время года.",12000,"полиэстер, утеплитель","зима","серый","повседневный"
60,"Брюки-чинос","Классические брюки-чинос из хлопка, идеально подходящие для создания делового и повседневного образа. Элегантный крой и универсальность позволяют комбинировать их с рубашками и свитерами.",3000,"хлопок","всесезонный","бежевый","деловой, повседневный"
61,"Платье-футляр с вырезом","Стильное платье-футляр с глубоким вырезом, выполненное из эластана, которое подчеркивает фигуру и создает эффектный вечерний образ. Идеально для торжественных мероприятий.",4700,"эластан","лето, весна","черный","вечерний"
62,"Куртка-джинсовка","Классическая джинсовая куртка из денима, разработанная для создания непринужденного повседневного образа. Прочная и универсальная, отлично подходит для межсезонья.",4500,"деним","весна, осень","светло-голубой","повседневный"
63,"Юбка-миди с разрезом","Женственная юбка-миди с боковым разрезом из вискозы, добавляющая образу изысканности и свободы движений. Идеальна для создания как офисного, так и вечернего стиля.",3400,"вискоза","весна, лето","темно-фиолетовый","деловой, вечерний"
64,"Туфли-мюли","Стильные туфли-мюли без задника на каблуке из кожи, создающие современный и минималистичный образ для лета. Обладают удобной посадкой и лаконичным дизайном.",3800,"кожа","лето","бежевый","вечерний"
65,"Спортивная куртка","Легкая спортивная куртка из полиэстера, разработанная для тренировок и повседневной носки. Дышащая ткань и современный крой обеспечивают свободу движений и комфорт.",4200,"полиэстер","всесезонный","синий","спортивный"
66,"Мужская рубашка","Классическая мужская рубашка из хлопка, разработанная для делового стиля. Строгий крой, качественная ткань и аккуратный дизайн делают её незаменимой для офисного гардероба.",3200,"хлопок","всесезонный","белый","деловой"
67,"Мужские брюки","Строгие мужские брюки из костюмной ткани, созданные для официального стиля и деловых встреч. Обладают элегантным кроем и комфортной посадкой, подчеркивая статус и уверенность.",4000,"костюмная ткань","всесезонный","темно-серый","деловой"
68,"Мужской свитер","Уютный мужской свитер из шерсти, предназначенный для холодной погоды. Классический дизайн, мягкая текстура и тепло, которое он сохраняет, делают его идеальным для осенне-зимнего сезона.",2800,"шерсть","осень, зима","темно-синий","повседневный"
69,"Мужская футболка","Спортивная мужская футболка из хлопка, созданная для активного отдыха и повседневной носки. Легкая, дышащая ткань обеспечивает комфорт даже в жаркие дни.",1800,"хлопок","лето, весна","черный","спортивный, повседневный"
70,"Мужские джинсы","Классические мужские джинсы из денима, отличающиеся прочностью и универсальностью. Подходят для создания повседневного стиля и легко сочетаются с различными верхами.",3500,"деним","всесезонный","синий","повседневный"
71,"Мужская куртка","Стильная мужская куртка из нейлона, разработанная для прохладной погоды. Современный крой и функциональные элементы делают её отличным выбором для осенних дней.",7500,"нейлон","осень","черный","повседневный"
72,"Мужские шорты","Удобные мужские шорты из денима, предназначенные для летнего отдыха и активного времяпрепровождения. Легкие, практичные и стильные, они обеспечивают комфорт в жаркую погоду.",2200,"деним","лето","светло-синий","повседневный"
73,"Спортивные лосины","Эластичные спортивные лосины из полиэстера, созданные для занятий спортом и фитнесом. Обеспечивают свободу движений и комфорт при активных тренировках.",2000,"полиэстер","всесезонный","черный","спортивный"
74,"Спортивные кроссовки","Легкие спортивные кроссовки с сетчатым верхом, разработанные для тренировок и активного отдыха. Отличная амортизация и современный дизайн обеспечивают комфорт во время занятий спортом.",3200,"сетка","всесезонный","белый","спортивный"
75,"Мужская жилетка","Легкая мужская жилетка из полиэстера, идеально подходящая для межсезонья и активного отдыха. Добавляет дополнительное тепло и легко комбинируется с другой одеждой.",2700,"полиэстер","весна","серый","повседневный"
76,"Мужской пиджак","Классический мужской пиджак из шерсти, разработанный для деловых встреч и официального стиля. Строгий крой и высококачественная отделка подчеркивают элегантность образа.",5500,"шерсть","всесезонный","темно-синий","деловой"
77,"Мужской костюм","Элегантный мужской костюм, состоящий из пиджака и брюк из шерсти, идеальный для официальных мероприятий. Безупречный крой и традиционный дизайн делают его незаменимым в деловом гардеробе.",12000,"шерсть","всесезонный","черный","деловой"
78,"Мужская обувь","Классические мужские туфли из кожи, разработанные для делового стиля. Элегантный дизайн и качественные материалы обеспечивают комфорт и подчеркивают статус владельца.",5000,"кожа","всесезонный","коричневый","деловой"
79,"Спортивные носки","Набор спортивных носков из хлопка, созданный для тренировок и активного отдыха. Обеспечивают отличную вентиляцию, комфорт и долговечность в повседневном использовании.",800,"хлопок","всесезонный","белый","спортивный"
80,"Мужской ремень","Кожаный мужской ремень, выполненный с тщательной обработкой, который отлично дополняет деловой образ. Универсальный аксессуар, сочетающий практичность и стиль.",1500,"кожа","всесезонный","черный","деловой"
81,"Женская сумочка","Стильная женская сумочка из экокожи, разработанная для повседневного использования. Вместительная и элегантная, она станет незаменимым аксессуаром для создания утонченного образа.",3200,"экокожа","всесезонный","розовый","повседневный"
82,"Пояс-кросс","Модный кожаный пояс-кросс, являющийся ярким акцентом в любом образе. Легкий, универсальный и стильный аксессуар для завершения повседневного наряда.",1200,"кожа","всесезонный","черный","повседневный"
83,"Серьги-кольца","Эффектные серьги-кольца из металла, создающие яркий акцент в вечернем образе. Изысканный дизайн и универсальность делают их идеальным выбором для торжественных случаев.",900,"металл","всесезонный","серебряный","вечерний"
84,"Браслет-цепочка","Изящный браслет-цепочка из металла, который добавляет образу утонченности и стиля. Подходит как для повседневного ношения, так и для вечерних выходов.",700,"металл","всесезонный","золотой","вечерний"
85,"Наручные часы","Элегантные наручные часы с кожаным ремешком, сочетающие точность механизма и стильный дизайн. Идеально подходят для делового и повседневного образа, подчеркивая статус владельца.",4500,"кожа","всесезонный","черный","деловой"
86,"Зонтик складной","Компактный складной зонтик из полиэстера, предназначенный для защиты от дождя. Легкий, прочный и удобный – незаменимый аксессуар в непогоду.",1300,"полиэстер","всесезонный","черный","повседневный"
87,"Головной убор","Модная шляпа из ткани, подходящая для создания стильного летнего образа. Легкая и удобная, она прекрасно дополняет как повседневный, так и нарядный стиль.",1800,"ткань","всесезонный","бежевый","повседневный"
88,"Пляжные шорты","Легкие пляжные шорты из льна, созданные для комфортного отдыха на солнце. Обеспечивают свободу движений и легкость, идеально подходя для жарких летних дней.",2000,"лен","лето","голубой","повседневный"
89,"Купальник","Стильный купальник из полиэстера, разработанный для пляжного отдыха. Обеспечивает комфорт, подчеркивает фигуру и создаёт современный, модный образ.",2500,"полиэстер","лето","черный","повседневный"
90,"Пляжное платье","Легкое платье из шифона, создающее воздушный и романтичный образ для пляжа. Идеально подходит для летних прогулок и праздников, даря ощущение легкости и свежести.",3000,"шифон","лето","белый","повседневный, романтический"
91,"Сандалии на плоской подошве","Удобные сандалии на плоской подошве из кожи, разработанные для ежедневной носки в теплое время года. Практичный дизайн и комфорт обеспечивают лёгкость при ходьбе.",2300,"кожа","лето","коричневый","повседневный"
92,"Мужской свитшот","Удобный мужской свитшот из хлопка, идеально подходящий для создания повседневного образа. Мягкая ткань и классический дизайн делают его незаменимым в прохладные дни.",2100,"хлопок","всесезонный","серый","повседневный"
93,"Детская футболка","Яркая детская футболка из хлопка, созданная для активных игр и повседневной носки. Обеспечивает комфорт, свободу движений и жизнерадостный внешний вид.",1200,"хлопок","лето","желтый","повседневный"
94,"Детские шорты","Легкие детские шорты из хлопка, разработанные для максимального комфорта в жаркие летние дни. Практичные и стильные, способствуют активной игре на свежем воздухе.",1500,"хлопок","лето","синий","повседневный"
95,"Детские брюки","Удобные детские брюки из хлопка, выполненные для активного отдыха и игр. Практичный крой и прочный материал обеспечивают комфорт в повседневной носке.",1800,"хлопок","всесезонный","синий","повседневный"
96,"Детское платье","Модное детское платье из хлопка, созданное для маленьких принцесс. Нежный дизайн, комфортная посадка и яркие оттенки делают его идеальным для праздников и повседневного ношения.",2200,"хлопок","лето","розовый","повседневный"
97,"Детский свитер","Теплый детский свитер из акрила, предназначенный для защиты от холода. Мягкая текстура и яркий дизайн создают уютный и радостный образ для зимнего сезона.",2000,"акрил","зима","красный","повседневный"
98,"Детская куртка","Легкая детская куртка из синтетики, разработанная для осенне-зимнего сезона. Обеспечивает надежную защиту от холода и ветра, сохраняя комфорт даже в переменчивую погоду.",3200,"синтетика","осень, зима","серебряный","повседневный"
99,"Детские джинсы","Прочные детские джинсы из денима, созданные для активного отдыха и игр. Удобная посадка и долговечный материал делают их идеальными для повседневной носки.",2100,"деним","всесезонный","светло-синий","повседневный"
100,"Детские кроссовки","Удобные детские кроссовки из текстиля, разработанные для активного образа жизни. Легкие, прочные и комфортные, они подойдут для игр и прогулок.",1900,"текстиль","всесезонный","белый","повседневный"
101,"Спортивная толстовка","Толстовка для тренировок и отдыха из хлопка, обладающая удобной посадкой и стильным дизайном. Идеальна для занятий спортом и активного времяпрепровождения.",2600,"хлопок","всесезонный","черный","спортивный"
102,"Леггинсы","Эластичные леггинсы из полиэстера, созданные для занятий спортом и повседневной носки. Обеспечивают свободу движений, комфорт и современный спортивный стиль.",1500,"полиэстер","всесезонный","темно-серый","спортивный"
103,"Спортивный топ","Легкий спортивный топ из синтетики, предназначенный для активных тренировок. Отличается дышащей тканью и свободным кроем, обеспечивая максимальный комфорт во время занятий.",1100,"синтетика","лето","белый","спортивный"
104,"Беговые шорты","Удобные беговые шорты из синтетики, разработанные для занятий бегом и тренировок. Легкий материал и практичный крой обеспечивают комфорт и свободу движений.",1300,"синтетика","лето","серый","спортивный"
105,"Спортивная куртка для бега","Легкая куртка для бега из синтетики, разработанная для защиты от ветра и легкого дождя. Идеальна для утренних пробежек и активного отдыха, сочетая функциональность и стиль.",2800,"синтетика","весна","синий","спортивный"
106,"Дождевик детский","Яркий детский дождевик из полиэстера, созданный для защиты от дождя и ветра во время прогулок. Практичный и веселый дизайн обеспечивает комфорт даже в ненастную погоду.",1600,"полиэстер","весна, осень","желтый","повседневный"
107,"Детская кепка","Кепка для детей из ткани, предназначенная для защиты от солнца. Легкая, удобная и стильная, она дополнит летний образ маленького модника.",800,"ткань","лето","синий","повседневный"
108,"Детский ремень","Небольшой детский ремень из кожи, выполненный с учетом комфортной посадки. Практичный аксессуар для завершения образа и обеспечения аккуратности в одежде.",500,"кожа","всесезонный","коричневый","повседневный"
109,"Детский свитшот","Уютный детский свитшот из хлопка, созданный для повседневной носки и активных игр. Мягкая ткань и привлекательный дизайн делают его любимой вещью маленьких модников.",1400,"хлопок","всесезонный","зеленый","повседневный"
110,"Детские носочки","Набор ярких детских носочков из хлопка, разработанный для максимального комфорта и защиты ног во время игр. Практичный и долговечный аксессуар для ежедневного использования.",400,"хлопок","всесезонный","разноцветный","повседневный"
111,"Спортивный костюм женский","Комплект женского спортивного костюма из хлопка и синтетики, обеспечивающий комфорт при тренировках и активном отдыхе. Современный крой и яркий дизайн делают его незаменимым для спорта.",5200,"хлопок, синтетика","всесезонный","розовый","спортивный"
112,"Платье вечернее","Элегантное вечернее платье с блестящими элементами, выполненное из шелка, созданное для торжественных мероприятий. Утонченный крой, изысканный дизайн и эффектный внешний вид делают его идеальным для особых случаев.",8500,"шелк","вечернее","черный","вечерний"
113,"Джемпер мужской","Уютный мужской джемпер из мягкой шерсти, разработанный для прохладных дней. Классический дизайн, теплый материал и аккуратный крой обеспечивают комфорт и стиль в холодное время года.",4200,"шерсть","осень","темно-синий","повседневный"
114,"Брюки чиносы женские","Легкие женские брюки чиносы из хлопка, созданные для повседневного стиля. Отличаются удобной посадкой и современным дизайном, что позволяет создавать как офисные, так и кэжуал образы.",3100,"хлопок","всесезонный","бежевый","повседневный"
115,"Тренч пальто","Классическое тренч-пальто из хлопка и полиэстера, идеально подходящее для дождливой погоды. Продуманный крой, водоотталкивающая пропитка и элегантный стиль делают его незаменимым в межсезонье.",7000,"хлопок, полиэстер","весна","камель","повседневный"
116,"Кроссовки для бега","Легкие кроссовки для бега из синтетики, созданные для обеспечения отличной амортизации и поддержки стопы. Современный дизайн и функциональные технологии обеспечивают комфорт во время тренировок.",4800,"синтетика","всесезонный","серый","спортивный"
117,"Легкое летнее платье","Воздушное летнее платье из льна, разработанное для жарких дней. Обеспечивает максимальный комфорт, легкость и романтичный образ, идеально подходящий для отдыха на природе.",3300,"лен","лето","белый","повседневный, романтический"
118,"Кожаная куртка мужская","Стильная мужская кожаная куртка из натуральной кожи, созданная для повседневного ношения. Прочная, модная и универсальная, она добавляет смелости любому образу.",15000,"кожа","всесезонный","черный","повседневный"
119,"Юбка-тюль","Легкая юбка-тюль из прозрачного тюля, создающая романтичный и воздушный образ. Идеальна для летних мероприятий и вечерних выходов, подчеркивая нежность и женственность.",2800,"тюль","лето","розовый","вечерний"
120,"Спортивные штаны","Удобные спортивные штаны из полиэстера, разработанные для занятий спортом и активного отдыха. Легкий материал и практичный крой обеспечивают свободу движений и комфорт.",2500,"полиэстер","всесезонный","черный","спортивный"
121,"Водолазка женская","Облегающая женская водолазка из акрила, созданная для создания стильного образа в холодное время года. Эластичный крой, яркий цвет и современный дизайн делают её незаменимой в зимний период.",3000,"акрил","зима","красный","повседневный"
122,"Классический костюм мужской","Двухкомпонентный мужской костюм из шерсти, разработанный для официальных мероприятий и делового стиля. Строгий крой и высококачественная ткань подчеркивают элегантность и уверенность.",18000,"шерсть","всесезонный","темно-серый","деловой"
123,"Пончо","Теплое пончо с этническим узором из вискозы, созданное для осенних дней. Свободный крой и оригинальный дизайн придают образу экзотичность и комфорт.",3900,"вискоза","осень","оранжевый","повседневный"
124,"Легкий кардиган","Мягкий легкий кардиган из акрила, идеально подходящий для межсезонья. Универсальный дизайн и нежная текстура делают его отличным вариантом для офисного или повседневного стиля.",2600,"акрил","всесезонный","светло-серый","повседневный"
125,"Бомбер женский","Стильный женский бомбер из нейлона с современным кроем, созданный для создания модного повседневного образа. Легкий, функциональный и яркий – идеальный выбор для активного дня.",4800,"нейлон","всесезонный","мятный","повседневный"
